CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
21.4,89.1,80.4,0.0,0.0,0.0,0.0
15.0,89.1,80.4,0.184,0.0,0.0,72.0
14.6,89.0,80.4,3.304,0.0,0.0,8.0
20.7,89.6,80.4,48.312,0.0,0.0,24.0
10.3,89.5,80.4,0.184,0.0,0.0,8.0
13.2,89.7,80.4,1.128,0.0,0.0,0.0
17.7,89.7,80.4,9.336,0.0,0.0,0.0
29.1,90.3,80.4,0.784,0.0,0.0,96.0
33.3,90.5,80.4,0.56,0.0,0.0,128.0
16.5,90.7,80.4,0.0,0.0,0.0,40.0
26.2,91.0,80.4,4.904,0.0,0.0,696.0
16.4,91.0,80.4,1.312,0.0,0.0,8.0
14.8,90.7,80.4,1.16,0.0,0.0,8.0
21.8,90.8,80.4,7.208,0.0,0.0,64.0
14.7,90.6,80.4,0.0,0.0,0.0,8.0
7.9,90.5,80.4,0.496,0.0,0.0,8.0
9.6,90.4,80.4,0.0,0.0,0.0,8.0
8.5,90.2,80.4,0.56,0.0,0.0,8.0
10.9,90.0,80.4,0.496,0.0,0.0,0.0
12.9,89.5,80.4,0.0,0.0,0.0,32.0
16.5,89.4,80.4,0.248,0.0,0.0,24.0
19.4,89.8,80.4,1.28,0.0,0.0,80.0
11.4,89.9,80.4,0.248,8.0,0.0,40.0
9.5,89.8,80.4,0.496,0.0,0.0,0.0
12.9,89.6,80.4,0.0,0.0,0.0,80.0
14.2,89.7,80.4,0.376,0.0,0.0,16.0
24.2,90.3,80.4,2.312,0.0,0.0,8.0
18.5,90.3,80.4,0.0,0.0,0.0,8.0
15.9,90.4,80.4,2.528,0.0,0.0,8.0
22.8,90.5,80.4,8.904,0.0,0.0,24.0
13.9,90.0,80.4,0.312,0.0,0.0,48.0
13.4,90.1,80.4,0.0,0.0,0.0,0.0
10.9,90.0,80.4,0.496,0.0,0.0,8.0
15.1,89.9,80.4,0.0,0.0,0.0,0.0
13.1,89.9,80.4,0.496,0.0,0.0,8.0
14.3,89.8,80.4,2.032,0.0,0.0,112.0
13.1,89.8,80.4,0.0,0.0,0.0,0.0
12.6,89.9,80.4,1.0,0.0,0.0,8.0
9.1,89.8,80.4,0.0,0.0,0.0,8.0
12.7,89.8,80.4,0.032,0.0,0.0,40.0
16.4,89.8,80.4,6.312,0.0,0.0,8.0
15.0,89.8,80.4,0.0,0.0,0.0,0.0
10.5,89.8,80.4,0.784,0.0,0.0,0.0
9.9,89.8,80.4,0.0,0.0,0.0,0.0
16.2,89.8,80.4,49.208,0.0,0.0,0.0
9.2,88.8,80.4,1.216,0.0,0.0,8.0
9.7,88.8,80.4,0.0,0.0,0.0,24.0
15.7,88.6,80.4,0.0,0.0,0.0,8.0
13.0,88.7,80.4,0.744,0.0,0.0,24.0
15.5,88.7,80.4,4.24,0.0,0.0,0.0
17.1,88.7,80.4,11.0,0.0,8.0,8.0
22.4,89.5,80.4,0.592,0.0,0.0,40.0
15.4,89.9,80.4,0.0,0.0,0.0,8.0
21.7,89.9,80.4,3.16,0.0,0.0,248.0
23.5,90.0,80.4,0.128,0.0,0.0,0.0
16.1,90.0,80.4,0.032,0.0,0.0,8.0
12.6,90.1,80.4,0.752,0.0,0.0,16.0
11.6,90.2,80.4,0.0,0.0,0.0,16.0
