CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
20.6,82.9,80.1,0.0,0.0,104.0,0.0
4.6,82.9,80.1,7.504,0.0,64.0,72.0
11.7,83.0,80.1,6.0,0.0,32.0,80.0
5.4,83.0,80.1,4.496,0.0,48.0,64.0
7.5,83.0,80.1,6.0,0.0,56.0,80.0
7.8,83.0,80.1,0.0,0.0,120.0,64.0
4.0,83.0,80.1,1.064,0.0,0.0,72.0
5.2,83.0,80.1,1.032,0.0,56.0,64.0
6.6,83.0,80.1,3.032,0.0,232.0,64.0
5.9,83.0,80.1,5.504,0.0,112.0,56.0
6.9,83.0,80.1,6.0,0.0,112.0,80.0
10.3,83.2,80.1,6.072,0.0,48.0,64.0
33.8,84.8,80.1,275.12,0.0,224.0,696.0
23.5,84.7,80.1,7.864,0.0,24.0,128.0
7.1,84.6,80.1,7.128,0.936,0.0,72.0
58.1,85.2,80.1,169.152,0.816,288.0,56.0
44.7,85.6,80.1,104.92,0.0,24.0,80.0
56.3,84.6,80.1,307.728,0.0,120.0,144.0
19.9,84.6,80.1,210.288,0.0,136.0,64.0
30.3,84.8,80.1,14.984,0.128,0.0,1176.0
10.5,84.6,80.1,0.032,0.0,0.0,64.0
12.9,84.0,80.1,1.28,0.0,104.0,72.0
15.6,83.2,80.1,3.0,0.024,112.0,72.0
6.7,83.2,80.1,6.0,0.0,136.0,72.0
11.4,83.0,80.1,4.872,0.0,120.0,56.0
11.7,83.1,80.1,7.752,0.0,160.0,56.0
22.9,84.3,80.1,11.312,0.0,160.0,80.0
37.2,85.6,80.1,359.504,0.0,64.0,96.0
27.7,86.0,80.1,293.168,1.096,104.0,192.0
36.1,86.2,80.1,121.248,0.0,32.0,320.0
24.4,86.4,80.1,354.032,4.184,80.0,112.0
28.0,85.5,80.1,246.176,0.0,104.0,168.0
25.0,84.2,80.1,6.032,0.0,120.0,88.0
14.8,84.2,80.1,4.496,0.0,112.0,64.0
18.0,84.2,80.1,6.656,0.0,160.0,64.0
11.0,84.4,80.1,11.832,0.0,104.0,56.0
20.1,84.4,80.1,31.696,0.0,24.0,56.0
41.2,86.1,80.1,519.2,0.0,40.0,624.0
32.2,85.5,80.1,32.432,0.0,104.0,10576.0
34.7,85.8,80.1,23.272,0.0,184.0,6192.0
45.1,86.0,80.1,21.672,0.0,56.0,9608.0
