CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
17.1,82.6,80.1,0.0,0.0,136.0,0.0
7.4,82.5,80.1,8.56,0.0,0.0,88.0
12.7,82.5,80.1,8.0,0.0,32.0,104.0
7.0,82.5,80.1,10.0,0.0,192.0,112.0
13.7,82.5,80.1,5.504,0.0,88.0,112.0
7.0,82.6,80.1,3.0,0.0,48.0,112.0
6.3,82.7,80.1,7.0,0.0,56.0,104.0
6.3,82.6,80.1,9.504,0.0,80.0,112.0
6.1,82.6,80.1,8.0,0.0,224.0,104.0
7.5,82.6,80.1,3.0,0.0,256.0,120.0
6.4,82.7,80.1,9.0,0.0,192.0,128.0
13.8,82.8,80.1,11.0,0.0,80.0,128.0
9.1,82.9,80.1,7.504,0.0,224.0,112.0
9.6,82.8,80.1,9.0,0.0,56.0,120.0
11.1,82.8,80.1,8.0,0.0,40.0,112.0
9.0,82.8,80.1,11.504,0.0,80.0,112.0
8.5,82.7,80.1,9.0,0.0,232.0,112.0
6.4,82.7,80.1,9.0,0.0,112.0,112.0
