CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
6.9,84.8,80.1,0.0,28.376,0.0,0.0
8.1,84.8,80.1,0.032,0.0,0.0,88.0
14.5,84.9,80.1,0.0,0.0,0.0,24.0
7.8,84.9,80.1,0.496,0.0,0.0,8.0
4.5,84.7,80.1,0.0,0.0,0.0,8.0
4.6,84.7,80.1,1.0,0.0,0.0,0.0
5.2,84.7,80.1,0.248,0.0,0.0,8.0
6.7,84.8,80.1,2.0,0.0,0.0,0.0
5.1,84.8,80.1,3.248,0.0,0.0,0.0
5.1,84.8,80.1,0.0,0.0,0.0,0.0
6.3,84.8,80.1,0.0,0.0,0.0,0.0
4.0,84.7,80.1,0.496,0.0,0.0,0.0
4.6,84.7,80.1,0.0,0.0,0.0,0.0
4.0,84.7,80.1,0.096,0.0,0.0,16.0
6.1,84.7,80.1,1.0,0.0,0.0,8.0
6.4,84.7,80.1,0.0,0.0,0.0,0.0
4.8,84.7,80.1,9.624,0.0,0.0,0.0
12.2,84.4,80.1,12.704,0.0,0.0,0.0
4.2,84.3,80.1,0.0,0.0,0.0,0.0
5.2,84.5,80.1,0.528,0.0,0.0,0.0
3.8,84.4,80.1,0.0,0.0,0.0,0.0
9.6,84.3,80.1,0.56,0.0,0.0,0.0
8.6,84.4,80.1,2.392,0.0,0.0,8.0
8.3,84.4,80.1,0.0,0.0,0.0,0.0
8.9,84.4,80.1,0.496,0.0,0.0,0.0
