CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
20.2,74.0,81.6,0.0,0.248,0.0,0.0
15.7,74.2,81.6,0.0,0.128,0.0,0.0
29.5,74.1,81.6,0.0,0.0,0.0,0.0
15.1,74.1,81.6,0.0,0.0,0.0,88.0
9.8,74.1,81.6,1.0,0.0,0.0,0.0
7.2,74.1,81.6,0.0,0.0,0.0,0.0
13.8,74.1,81.6,0.496,0.0,0.0,0.0
16.4,74.1,81.6,0.032,0.0,0.0,0.0
16.9,74.1,81.6,0.72,0.0,0.0,0.0
11.8,74.2,81.6,0.496,0.0,0.0,0.0
13.0,74.2,81.6,0.0,0.0,0.0,0.0
15.4,74.2,81.6,1.248,0.0,0.0,0.0
