CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
37.1,80.8,90.8,248.0,0.592,0.0,0.0
33.4,80.8,90.8,1376.088,0.0,0.0,144.0
36.8,80.8,90.8,2173.896,0.592,0.0,0.0
33.0,82.7,90.8,1582.904,0.0,0.0,0.0
27.9,80.8,90.8,1729.72,0.0,0.0,24.0
28.1,80.7,90.8,1470.448,0.0,0.0,0.0
20.4,80.4,90.8,771.568,0.0,0.0,0.0
5.4,80.6,90.8,3.056,0.0,0.0,0.0
5.5,80.6,90.8,10.504,0.0,0.0,0.0
4.7,80.6,90.8,4.28,0.0,0.0,8.0
4.0,80.6,90.8,0.496,0.0,0.0,0.0
14.7,80.4,90.8,0.568,0.0,0.0,8.0
13.6,80.5,90.8,10.8,0.0,0.0,16.0
9.6,80.5,90.8,0.496,0.0,0.0,8.0
18.9,80.4,90.8,1.248,0.0,0.0,0.0
16.2,80.4,90.8,0.16,0.0,0.0,0.0
4.4,80.4,90.8,1.968,0.0,0.0,0.0
6.0,80.4,90.8,11.656,0.0,0.0,0.0
7.5,80.2,90.8,32.528,0.0,0.0,8.0
4.9,80.2,90.8,0.064,0.0,0.0,0.0
4.5,80.2,90.8,0.0,0.0,0.0,0.0
4.7,80.2,90.8,0.496,0.0,0.0,0.0
5.4,80.2,90.8,0.096,0.0,0.0,0.0
4.2,80.2,90.8,2.904,0.0,0.0,0.0
4.7,80.2,90.8,1.032,0.0,0.0,0.0
