CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
4.5,81.5,91.2,0.0,0.0,0.0,0.0
8.4,81.7,91.2,3.904,0.0,0.0,8.0
14.1,81.7,91.2,5.36,0.0,0.0,152.0
15.6,81.7,91.2,0.0,0.0,0.0,16.0
15.5,81.8,91.2,0.0,0.128,0.0,8.0
8.6,81.8,91.2,0.0,0.0,0.0,24.0
19.3,81.8,91.2,0.064,0.0,0.0,0.0
20.5,81.8,91.2,1.0,0.0,0.0,24.0
20.4,81.9,91.2,0.0,0.0,0.0,0.0
22.8,81.9,91.2,10.032,0.0,0.0,16.0
52.5,82.0,91.2,33.144,0.0,0.0,0.0
10.5,82.1,91.2,0.28,0.0,0.0,0.0
4.5,82.1,91.2,0.128,0.0,0.0,8.0
6.0,82.1,91.2,0.496,0.0,0.0,0.0
5.7,82.1,91.2,0.0,0.0,0.0,8.0
6.3,82.1,91.2,1.0,0.0,0.0,0.0
6.5,82.1,91.2,0.0,0.0,0.0,0.0
6.1,82.1,91.2,1.888,0.0,0.0,0.0
5.2,82.1,91.2,0.528,0.0,0.0,0.0
5.7,82.0,91.2,0.096,0.0,0.0,24.0
5.7,82.1,91.2,0.0,0.0,0.0,8.0
4.9,82.1,91.2,0.496,0.0,0.0,8.0
6.9,82.3,91.2,1.28,0.0,0.0,8.0
5.6,82.3,91.2,1.0,0.0,0.0,8.0
5.4,82.3,91.2,0.032,0.0,0.0,0.0
6.1,82.3,91.2,0.216,0.0,0.0,0.0
6.1,82.3,91.2,0.496,0.0,0.0,0.0
17.5,82.2,91.2,0.248,0.0,0.0,72.0
5.5,82.3,91.2,0.0,16.0,0.0,0.0
6.6,82.3,91.2,0.496,0.0,0.0,16.0
6.3,82.3,91.2,0.0,0.0,0.0,0.0
5.5,82.3,91.2,0.0,0.128,0.0,8.0
6.6,82.3,91.2,0.0,0.0,0.0,0.0
5.2,82.3,91.2,0.0,0.0,0.0,8.0
6.8,82.2,91.2,0.496,0.0,0.0,0.0
6.1,82.2,91.2,0.0,0.0,0.0,0.0
5.4,82.2,91.2,0.0,0.0,0.0,0.0
7.0,82.2,91.2,0.496,0.0,0.0,0.0
6.8,82.2,91.2,0.0,0.0,0.0,0.0
18.9,81.3,91.2,0.968,2.184,0.0,16.0
7.5,81.1,91.2,1.0,0.0,0.0,0.0
9.6,81.1,91.2,0.0,0.0,0.0,8.0
6.5,81.1,91.2,0.496,0.0,0.0,0.0
6.3,81.1,91.2,0.0,0.0,0.0,8.0
4.9,81.1,91.2,0.032,0.0,0.0,0.0
5.6,81.1,91.2,0.496,0.0,0.0,0.0
6.7,81.1,91.2,0.0,0.0,0.0,88.0
5.6,81.0,91.2,0.128,0.0,0.0,0.0
7.8,81.0,91.2,1.0,0.0,8.0,0.0
7.4,81.0,91.2,0.0,0.0,0.0,16.0
5.3,81.0,91.2,0.496,0.0,0.0,0.0
7.5,80.9,91.2,0.0,0.0,0.0,8.0
5.6,80.9,91.2,0.0,0.0,0.0,0.0
7.3,80.9,91.2,0.744,0.0,0.0,8.0
5.6,80.9,91.2,0.0,0.0,0.0,0.0
6.8,81.0,91.2,0.0,0.0,0.0,0.0
7.0,80.9,91.2,1.0,0.0,0.0,0.0
7.8,81.0,91.2,0.0,0.0,0.0,0.0
8.5,81.0,91.2,0.0,0.0,0.0,16.0
8.4,81.0,91.2,0.496,0.0,0.0,0.0
7.0,80.9,91.2,0.0,0.0,0.0,8.0
6.7,81.0,91.2,0.496,0.0,0.0,8.0
6.8,81.0,91.2,0.0,0.0,0.0,0.0
6.6,81.1,91.2,0.0,0.0,0.0,16.0
6.8,81.1,91.2,1.0,0.0,0.0,0.0
17.3,81.0,91.2,0.0,0.0,0.0,8.0
17.8,81.2,91.2,0.032,0.0,0.0,24.0
12.2,81.4,91.2,0.496,0.0,0.0,0.0
8.8,81.4,91.2,0.0,0.0,0.0,176.0
13.2,81.3,91.2,0.496,0.0,0.0,0.0
8.5,81.3,91.2,0.0,0.0,0.0,8.0
6.1,81.3,91.2,0.0,0.0,0.0,8.0
7.3,81.3,91.2,1.0,0.0,0.0,0.0
6.8,81.3,91.2,0.0,0.0,0.0,8.0
7.3,81.3,91.2,0.0,0.0,0.0,16.0
6.9,81.3,91.2,0.496,0.0,0.0,16.0
7.7,81.3,91.2,0.76,0.0,0.0,0.0
39.4,82.3,91.2,351.016,0.0,0.0,704.0
43.5,82.6,91.2,150.616,1.248,0.0,168.0
26.1,82.8,91.2,41.968,0.0,0.0,72.0
18.4,82.6,91.2,30.504,0.0,0.0,0.0
13.6,82.6,91.2,0.0,0.496,0.0,8.0
9.3,82.7,91.2,7.0,0.0,0.0,0.0
29.7,82.5,91.2,73.584,0.0,0.0,56.0
8.0,82.4,91.2,0.0,0.0,0.0,0.0
7.3,82.4,91.2,0.0,0.0,0.0,0.0
8.0,82.4,91.2,7.512,0.0,0.0,0.0
9.1,82.5,91.2,0.0,0.0,0.0,0.0
8.2,82.4,91.2,1.0,0.0,0.0,16.0
8.1,82.4,91.2,0.096,0.0,0.0,0.0
12.2,82.4,91.2,27.36,0.0,0.0,0.0
11.4,82.5,91.2,1.544,0.0,0.0,120.0
8.7,82.4,91.2,0.0,0.0,0.0,0.0
9.0,82.3,91.2,0.0,0.0,0.0,8.0
8.5,82.3,91.2,0.752,0.0,0.0,0.0
8.2,82.3,91.2,0.0,0.0,0.0,0.0
8.7,82.3,91.2,1.0,0.0,0.0,0.0
7.5,82.2,91.2,0.0,0.0,0.0,0.0
9.3,82.2,91.2,0.0,0.0,0.0,16.0
7.4,82.2,91.2,0.496,0.0,0.0,0.0
9.6,82.2,91.2,0.0,0.0,0.0,0.0
8.0,82.2,91.2,0.0,0.0,0.0,64.0
8.2,82.2,91.2,0.496,0.0,0.0,8.0
10.7,82.2,91.2,0.0,0.0,0.0,0.0
8.2,82.2,91.2,0.496,0.0,0.0,0.0
8.8,82.2,91.2,1.248,0.0,0.0,0.0
9.4,82.0,91.2,0.0,0.0,0.0,0.0
8.9,82.1,91.2,0.832,0.0,0.0,0.0
9.6,82.1,91.2,0.0,0.0,0.0,48.0
7.6,82.2,91.2,0.624,0.0,0.0,0.0
9.4,82.1,91.2,0.496,0.0,0.0,0.0
9.7,82.2,91.2,0.0,0.0,0.0,0.0
8.7,82.2,91.2,0.0,0.0,0.0,8.0
9.1,82.1,91.2,1.0,0.0,0.0,0.0
9.6,82.1,91.2,0.0,0.0,0.0,0.0
8.2,82.0,91.2,0.496,0.0,0.0,8.0
11.2,82.1,91.2,0.032,0.0,0.0,0.0
7.9,82.1,91.2,0.032,0.0,0.0,0.0
10.3,82.1,91.2,0.496,0.0,0.0,16.0
12.1,82.1,91.2,0.0,0.0,0.0,0.0
14.9,82.1,91.2,0.0,0.0,0.0,8.0
13.3,82.1,91.2,1.0,0.0,0.0,0.0
