CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
13.7,82.6,80.1,0.0,0.0,360.0,0.0
11.6,82.6,80.1,7.0,0.0,104.0,104.0
13.0,82.8,80.1,4.0,0.0,176.0,88.0
4.6,82.7,80.1,10.0,0.0,56.0,88.0
6.6,82.8,80.1,2.032,0.0,0.0,88.0
4.3,83.0,80.1,8.0,0.0,224.0,96.0
4.9,82.9,80.1,10.528,0.032,120.0,96.0
6.3,83.0,80.1,9.0,0.0,112.0,96.0
5.0,82.9,80.1,6.496,0.0,200.0,88.0
6.6,82.8,80.1,5.0,0.0,112.0,96.0
5.4,82.8,80.1,7.0,0.0,144.0,88.0
6.9,82.8,80.1,8.0,0.0,248.0,88.0
8.9,82.9,80.1,7.0,0.0,248.0,96.0
6.6,82.8,80.1,10.0,0.0,256.0,104.0
5.4,82.9,80.1,7.504,0.0,312.0,96.0
6.1,82.9,80.1,3.0,0.0,88.0,88.0
7.3,82.9,80.1,29.44,0.0,256.0,120.0
6.0,82.8,80.1,0.56,0.0,176.0,96.0
7.2,82.9,80.1,5.504,0.0,176.0,104.0
5.2,82.9,80.1,8.0,0.0,104.0,88.0
7.2,82.9,80.1,6.0,0.0,304.0,104.0
12.1,82.9,80.1,8.0,0.0,88.0,96.0
6.3,82.9,80.1,5.504,0.0,136.0,112.0
14.7,82.9,80.1,2.528,0.0,256.0,96.0
12.9,82.9,80.1,6.0,0.0,216.0,96.0
10.8,82.9,80.1,8.528,0.0,176.0,96.0
10.3,82.8,80.1,5.0,0.0,136.0,120.0
