CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
1,23,45,45,345,544,345
32.2,85.7,91.3,0.0,0.0,0.0,0.0
9.6,85.8,91.3,8.384,0.0,0.0,40.0
13.6,85.8,91.3,2.808,0.0,0.0,792.0
11.9,85.9,91.3,2.16,0.0,0.0,5248.0
9.4,86.2,91.3,0.0,0.0,0.0,0.0
10.7,86.2,91.3,0.128,0.0,0.0,8.0
12.4,86.3,91.3,14.104,0.0,0.0,16.0
8.5,86.2,91.3,0.248,0.0,0.0,0.0
6.8,86.2,91.3,0.0,0.0,0.0,8.0
9.2,86.2,91.3,2.032,0.0,0.0,0.0
7.7,86.1,91.3,0.128,0.0,0.0,0.0
10.3,86.1,91.3,0.496,0.0,0.0,16.0
8.3,86.1,91.3,3.504,0.096,0.0,8.0
9.5,86.1,91.3,0.0,0.0,0.0,8.0
6.8,86.1,91.3,0.496,0.0,0.0,0.0
8.5,86.1,91.3,0.408,0.0,0.0,0.0
9.8,86.1,91.3,0.0,0.0,0.0,0.0
8.2,86.1,91.3,1.0,0.0,0.0,0.0
7.8,86.2,91.3,0.624,0.0,0.0,0.0
8.9,86.1,91.3,0.496,8.0,0.0,8.0
10.0,86.2,91.3,0.0,0.0,0.0,0.0
