CPU usage,Memory,Disk Usage,Disk write speed,Disk read speed,Wi-Fi speed receive,Wi-Fi speed Send
19.8,82.6,80.1,0.0,0.0,328.0,0.0
10.4,82.7,80.1,5.0,0.0,120.0,80.0
10.0,82.7,80.1,8.0,0.0,80.0,72.0
7.5,82.7,80.1,1.0,0.0,104.0,72.0
8.2,82.8,80.1,2.496,0.0,136.0,72.0
8.7,82.8,80.1,4.0,0.0,112.0,72.0
6.5,82.8,80.1,7.0,2.784,136.0,72.0
5.4,82.8,80.1,4.496,0.0,0.0,64.0
6.0,82.8,80.1,2.0,0.0,56.0,56.0
5.6,82.8,80.1,4.0,0.0,0.0,64.0
5.7,82.8,80.1,6.064,0.0,80.0,128.0
6.1,83.1,80.1,4.0,0.0,0.0,72.0
6.4,83.0,80.1,7.56,0.0,0.0,64.0
4.7,83.0,80.1,4.0,0.0,64.0,72.0
